Honorific,"First name","Last name","Office type",Address,City,Province,"Postal code","Office email",Email,Telephone,Fax,Toll-free,TTY,"Riding name",Party,"Parliamentary role","Member ID",,,
,Karen,McCrimmon,"Constituency office","Suite 109
555 Legget Dr.",Kanata,ON,"K2K 2X3",,kmccrimmon-co@liberal.ola.org,"613-599-3000  ",,,,Kanata—Carleton,"Ontario Liberal Party",,7645
,"Bobbi Ann",Brady,"Legislative office","Room 472
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,,416-325-0027,416-325-0026,,,Haldimand—Norfolk,Independent,,7599
,"Bobbi Ann",Brady,"Constituency office","Mailing address: P.O. Box 91",Simcoe,ON,"N3Y 4K8",babrady-co@ola.org,,,,,,Haldimand—Norfolk,Independent,,7599
,"Bobbi Ann",Brady,"Constituency office","50B Gilbertson Dr.",Simcoe,ON,"N3Y 4L8",babrady-co@ola.org,,519-428-0446,519-428-0835,800-903-8629,,Haldimand—Norfolk,Independent,,7599
,Jennifer,French,"Constituency office","Unit 2
78 Centre St. N",Oshawa,ON,"L1G 4B6",jfrench-co@ndp.on.ca,jfrench-qp@ndp.on.ca,"905-723-2411  ","905-723-1054  ",,,Oshawa,"New Democratic Party of Ontario",,7283
,Jennifer,French,"Legislative office","Room 345
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,jfrench-qp@ndp.on.ca,"416-325-0117  ","416-325-0084  ",,,Oshawa,"New Democratic Party of Ontario",,7283
,John,Fraser,"Constituency office","Unit D
1883 Bank St.",Ottawa,ON,"K1V 7Z9",,jfraser.mpp.co@liberal.ola.org,"613-736-9573  ","613-736-7374  ",,,"Ottawa South","Ontario Liberal Party",,7226
,John,Fraser,"Legislative office","Room 419
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,jfraser.mpp.co@liberal.ola.org,416-325-4670,416-325-4671,,,"Ottawa South","Ontario Liberal Party",,7226
,Robert,Bailey,"Legislative office","Room 254
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,bob.bailey@pc.ola.org,416-325-3040,416-325-3039,,,Sarnia—Lambton,"Progressive Conservative Party of Ontario",,7086
,Robert,Bailey,"Constituency office","Suite 102
805 Christina St. N","Point Edward",ON,"N7V 1X6",bob.baileyco@pc.ola.org,bob.bailey@pc.ola.org,519-337-0051,519-337-3246,,,Sarnia—Lambton,"Progressive Conservative Party of Ontario",,7086
,Aris,Babikian,"Constituency office","Suite 207
4002 Sheppard Ave. E",Scarborough,ON,"M1S 4R5",aris.babikianco@pc.ola.org,aris.babikian@pc.ola.org,416-297-6568,416-297-4962,,,Scarborough—Agincourt,"Progressive Conservative Party of Ontario",,7509
,Aris,Babikian,"Legislative office","Room 265
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,aris.babikian@pc.ola.org,416-326-7111,416-326-7099,,,Scarborough—Agincourt,"Progressive Conservative Party of Ontario",,7509
Hon.,Doug,Ford,"Ministry office","Ministry of Intergovernmental Affairs
Room 223
Main Legislative Building, Queen's Park  
111 Wellesley St.",Toronto,ON,"M7A 1A4",,,416-325-1941,,,,"Etobicoke North","Progressive Conservative Party of Ontario",,7468
Hon.,Doug,Ford,"Constituency office","Unit 110
964 Albion Rd.",Etobicoke,ON,"M9V 1A7",doug.fordco@pc.ola.org,,416-745-2859,"416-745-4601  ",,,"Etobicoke North","Progressive Conservative Party of Ontario",,7468
Hon.,Doug,Ford,"Legislative office","Premier's Office
Room 281
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,,416-325-7635,416-325-9895,,,"Etobicoke North","Progressive Conservative Party of Ontario",,7468
Hon.,Michael,Kerzner,"Ministry office","Ministry of the Solicitor General
George Drew Building
25 Grosvenor St.",Toronto,ON,"M7A 1Y6",,michael.kerzner@pc.ola.org,416-326-5000,,,,"York Centre","Progressive Conservative Party of Ontario",,7618
Hon.,Michael,Kerzner,"Constituency office","830 Sheppard Ave. W.",Toronto,ON,"M3H 2T1",,michael.kerzner@pc.ola.org,416-630-0080,,,,"York Centre","Progressive Conservative Party of Ontario",,7618
,Ted,Hsu,"Constituency office","Unit 403
837 Princess Street",Kingston,ON,"K7L 1G8",,thsu.mpp.co@liberal.ola.org,613-547-2385,,,,"Kingston and the Islands","Ontario Liberal Party",,7602
,Ted,Hsu,"Legislative office","Room 421
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,thsu.mpp.co@liberal.ola.org,416-325-0051,416-325-0049,,,"Kingston and the Islands","Ontario Liberal Party",,7602
Hon.,Sam,Oosterhoff,"Ministry office","Ministry of Energy and Mines
10th Floor 
77 Grenville St.",Toronto,ON,"M7A 2C1",,sam.oosterhoff@pc.ola.org,416-327-6758,,,,"Niagara West","Progressive Conservative Party of Ontario",,7405
Hon.,Sam,Oosterhoff,"Constituency office","Unit M1
4961 King St. E",Beamsville,ON,"L0R 1B0",sam.oosterhoffco@pc.ola.org,sam.oosterhoff@pc.ola.org,905-563-1755,905-563-1317,800-665-3697,,"Niagara West","Progressive Conservative Party of Ontario",,7405
,Joseph,Racinsky,"Constituency office","2nd Floor
181 St. Andrew St. E",Fergus,ON,"N1M 1P9",,joseph.racinsky@pc.ola.org,519-787-5247,,,,"Wellington—Halton Hills","Progressive Conservative Party of Ontario",,118
,Teresa,Armstrong,"Constituency office","155 Clarke Rd.",London,ON,"N5W 5C9",tarmstrong-co@ndp.on.ca,,519-668-1104,519-668-1941,,,London—Fanshawe,"New Democratic Party of Ontario",,7183
,Teresa,Armstrong,"Legislative office","Room 341
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,,416-325-1872,416-325-1912,,,London—Fanshawe,"New Democratic Party of Ontario",,7183
,Stephanie,Smyth,"Legislative office","Room 444 
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,ssmyth.mpp.co@liberal.ola.org,416-325-3020,416-325-3016,,,"Toronto—St. Paul's","Ontario Liberal Party",,121
,Stephanie,Smyth,"Constituency office","803 St. Clair Ave. W",Toronto,ON,"M6C 1B9",,ssmyth.mpp.co@liberal.ola.org,416-656-0943,416-656-0875,,,"Toronto—St. Paul's","Ontario Liberal Party",,121
,Deepak,Anand,"Constituency office","Unit 11
7895 Tranmere Dr.",Mississauga,ON,"L5S 1V9",,deepak.anandco@pc.ola.org,905-696-0367,905-696-7545,,,Mississauga—Malton,"Progressive Conservative Party of Ontario",,7493
